,titulo,link,descripcion,idioma,traduccion
0,El gabinete del Dr. Caligari,https://www.imdb.com/title/tt0010323/?ref_=adv_li_tt,"El doctor Caligari, un hipnotista, usa a Cesare, sonámbulo, para cometer asesinatos.",es,"'El doctor Caligari, un hipnotista, usa a Cesare, sonámbulo, para cometer asesinatos.'"
1,El chico,https://www.imdb.com/title/tt0012349/?ref_=adv_li_tt,"Un vagabundo cuida de un niño abandonado, pero una serie de eventos comprometen su relación con él.",es,"'Un vagabundo cuida de un niño abandonado, pero una serie de eventos comprometen su relación con él.'"
2,El golem,https://www.imdb.com/title/tt0011237/?ref_=adv_li_tt,"En la Praga del siglo XVI, un rabino crea un Golem, una criatura hecha de barro. Por medio de la brujería, hace que la criatura cobre vida para proteger a los judíos de Praga de ser perseguidos.",es,"'En la Praga del siglo XVI, un rabino crea un Golem, una criatura hecha de barro. Por medio de la brujería, hace que la criatura cobre vida para proteger a los judíos de Praga de ser perseguidos.'"
3,La carreta fantasma,https://www.imdb.com/title/tt0012364/?ref_=adv_li_tt,"En el Día de Año Nuevo, el conductor de un carruaje fantasma hace que un hombre borracho reflexione sobre su egoísta y malgastada vida.",es,"'En el Día de Año Nuevo, el conductor de un carruaje fantasma hace que un hombre borracho reflexione sobre su egoísta y malgastada vida.'"
4,La culpa ajena,https://www.imdb.com/title/tt0009968/?ref_=adv_li_tt,"A frail waif, abused by her brutal boxer father in Londons seedy Limehouse District, is befriended by a sensitive Chinese immigrant with tragic consequences.",en,"'A frail waif, abused by her brutal boxer father in Londons seedy Limehouse District, is befriended by a sensitive Chinese immigrant with tragic consequences.'"
5,Las 3 luces,https://www.imdb.com/title/tt0012494/?ref_=adv_li_tt,"Cuando el prometido de una mujer desaparece, la muerte le da tres oportunidades para salvarlo de su destino.",es,"'Cuando el prometido de una mujer desaparece, la muerte le da tres oportunidades para salvarlo de su destino.'"
6,El hombre y la bestia,https://www.imdb.com/title/tt0011130/?ref_=adv_li_tt,El Dr. Henry Jekyll experimenta con medios científicos para revelar el lado oscuro y oculto del hombre y libera a un asesino desde su interior.,es,'El Dr. Henry Jekyll experimenta con medios científicos para revelar el lado oscuro y oculto del hombre y libera a un asesino desde su interior.'
7,Los cuatro jinetes del apocalipsis,https://www.imdb.com/title/tt0012190/?ref_=adv_li_tt,An extended family split up in France and Germany find themselves on opposing sides of the battlefield during World War I.,en,'An extended family split up in France and Germany find themselves on opposing sides of the battlefield during World War I.'
8,La Negra,https://www.imdb.com/title/tt0011870/?ref_=adv_li_tt,"Abandoned by her fiancé, an educated black woman with a shocking past dedicates herself to helping a near bankrupt school for impoverished black youths.",en,"'Abandoned by her fiancé, an educated black woman with a shocking past dedicates herself to helping a near bankrupt school for impoverished black youths.'"
9,The Twelve Pound Look,https://www.imdb.com/title/tt0170725/?ref_=adv_li_tt,A self-made man divorces his wife who becomes a typist and warns him his second wife may leave him too.,en,'A self-made man divorces his wife who becomes a typist and warns him his second wife may leave him too.'
